Subject,DriveID,ROI,total_time_onroad_glance,percent_onroad,avg_offroad,avg_onroad,getTaskNum,errorPresses
8,[1],1.0,50.50499999999994,0.8801387170416317,0.1262857142857157,1.4429999999999983,0.0,0
8,[1],2.0,3.800000000000068,0.9306882194465089,0.06066666666663423,0.950000000000017,1.0,0
8,[1],3.0,1.4849999999999,0.74249999999995,0.14466666666669425,0.49499999999996663,1.0,0
8,[1],4.0,15.1099999999999,0.5154006208002148,0.5164400000000023,0.8394444444444389,1.0,0
8,[1],5.0,65.82500000000005,0.5449811233275935,0.43174137931034773,0.8126543209876549,1.0,0
8,[1],6.0,0.0,0.0,0.13199999999994816,,1.0,0
8,[1],7.0,62.60499999999945,0.4761452050835425,0.6473500000000059,0.7634756097560909,1.0,0
8,[1],8.0,66.2369999999994,0.5610119677810012,0.5858192771084425,1.0858524590163836,1.0,0
8,[1],9.0,72.98000000000093,0.5462574850299474,0.4994642857142781,0.9237974683544421,1.0,0
8,[1],10.0,65.84999999999854,0.5335007696670057,0.4896330275229473,0.8335443037974499,1.0,0
8,[1],11.0,13.170000000000755,0.23989071038252702,0.08352112676055948,0.48777777777780573,3.0,1
8,[1],12.0,0.20000000000004547,1.0,,0.20000000000004547,3.0,0
8,[1],13.0,41.61999999999966,0.35166877904520166,0.10045614035087996,0.717586206896546,3.0,0
8,[1],14.0,49.52000000000112,0.3905362776025326,0.07126404494382056,0.7860317460317637,3.0,0
8,[1],15.0,50.91999999999871,0.42362728785356646,0.10653386454183723,0.8486666666666451,3.0,0
8,[1],16.0,31.579999999998563,0.286180335296769,0.0846319018405038,0.49343749999997755,3.0,0
8,[1],17.0,47.249999999997726,0.33803119187292646,0.0646958637469601,0.598101265822756,2.0,0
8,[1],18.0,48.3900000000026,0.3854241338112521,0.07072046109510338,0.8201694915254678,2.0,0
8,[1],19.0,60.81999999999698,0.4244242847173559,0.10015673981191023,0.8566197183098166,2.0,0
8,[1],20.0,53.2800000000002,0.4355788096795318,0.08707317073170338,0.7298630136986328,2.0,0
8,[1],21.0,46.390000000002146,0.4021673168617441,0.09838006230528439,0.5798750000000268,5.0,0
8,[1],22.0,59.61999999999853,0.4781074578989464,0.0900543478260792,0.7844736842105069,5.0,0
8,[1],23.0,55.379999999999654,0.46483129091824504,0.0834840425531851,0.7691666666666619,5.0,0
8,[1],24.0,59.829999999996744,0.4937690847569259,0.11438356164384839,0.7670512820512403,5.0,0
8,[1],25.0,75.91999999999734,0.42812834827720847,0.11566945606694554,0.6544827586206667,4.0,0
8,[1],26.0,50.86000000000331,0.44786896794649117,0.09572463768113332,0.8073015873016398,4.0,0
8,[1],27.0,49.20999999999913,0.46306577585395076,0.1257983193277638,0.68347222222221,4.0,0
8,[1],28.0,,,,,4.0,0
8,[1],29.0,0.0,,0.0,,4.0,0
8,[1],30.0,54.27000000000044,0.4422982885085617,0.1209287925696804,0.6700000000000054,4.0,0
8,[1],31.0,45.80000000000018,0.39972071914819524,0.12528776978415931,0.6542857142857169,4.0,0
