Subject,DriveID,ROI,total_time_onroad_glance,percent_onroad,avg_offroad,avg_onroad,getTaskNum,errorPresses
14,[1],1.0,66.75299999999999,0.97473825620957,0.1594444444444447,6.675299999999998,0.0,0
14,[1],2.0,0.016999999999995907,1.0,,0.016999999999995907,0.0,0
14,[1],3.0,83.3730000000005,0.6099734421983751,0.580348837209306,1.3027031250000078,1.0,0
14,[1],4.0,76.50800000000015,0.6092177347432809,0.6631999999999899,1.4435471698113236,1.0,0
14,[1],5.0,79.86000000000035,0.5392302498311978,0.5673214285714303,1.0238461538461583,1.0,0
14,[1],6.0,72.38999999999896,0.602045908183624,0.5534567901234699,1.2269491525423553,1.0,0
14,[1],7.0,27.560000000000173,0.9295109612141682,0.17500000000002275,2.5054545454545614,1.0,1
14,[1],8.0,60.33999999999901,0.536594041796345,0.09852842809365017,0.9142424242424092,5.0,0
14,[1],9.0,67.5800000000022,0.5668511994631956,0.13243697478991304,0.9654285714286028,5.0,0
14,[1],10.0,76.44999999999982,0.5570939298987098,0.24045685279188686,1.061805555555553,5.0,0
14,[1],11.0,67.2800000000002,0.5832177531206668,0.3166666666666818,1.2694339622641546,5.0,0
14,[1],12.0,84.10999999999922,0.593159379407612,0.21139423076922542,1.236911764705871,5.0,0
14,[1],13.0,115.55000000000064,0.6902628434886534,0.17866028708131648,2.0271929824561514,4.0,1
14,[1],14.0,14.27999999999929,0.433910665451211,0.104563106796134,0.8399999999999582,4.0,0
14,[1],15.0,0.0,0.0,0.06999999999970896,,4.0,0
14,[1],16.0,114.27999999999793,0.6597009755815847,0.1633203124999838,1.3604761904761657,4.0,0
14,[1],17.0,78.99000000000115,0.5747653350796841,0.19500000000000858,1.294918032786904,4.0,0
14,[1],18.0,103.38000000000147,0.6963022832895643,0.2683582089552208,2.0270588235294404,4.0,0
14,[1],19.0,142.63999999999942,0.7291687966465571,0.20730569948185934,1.9275675675675596,4.0,0
14,[1],20.0,12.200000000000728,0.5193699446573268,0.20651162790695812,1.525000000000091,3.0,1
14,[1],21.0,67.85000000000036,0.5934575352051116,0.13490909090909844,1.3846938775510278,3.0,0
14,[1],22.0,73.00000000000045,0.592388217154915,0.3578813559322151,1.3518518518518603,3.0,0
14,[1],23.0,66.48999999999614,0.5450446757930671,0.2750310559006365,1.1269491525423074,3.0,0
14,[1],24.0,79.69000000000051,0.6375200000000041,0.20949999999999705,1.8111363636363753,3.0,0
14,[1],25.0,84.59000000000015,0.5868192854665304,0.24125628140702712,1.1914084507042273,3.0,0
14,[1],26.0,83.13999999999942,0.7342577055550567,0.12955696202523173,2.5193939393939218,2.0,0
14,[1],27.0,102.1300000000083,0.6751503933364712,0.31923664122138573,1.702166666666805,2.0,0
14,[1],28.0,135.70000000000346,0.7281996243627754,0.2970212765957519,2.224590163934483,2.0,0
14,[1],29.0,83.49999999999636,0.6411240786240517,0.16415789473683043,1.4396551724137303,2.0,0
14,[1],30.0,98.43000000000211,0.6994741330301445,0.3349541284403356,1.822777777777817,2.0,0
