Subject,DriveID,ROI,lane deviation,lane mean,lane exits
10,[2],1,0.14540657190370654,-0.4538435669014084,0
10,[3],1,0.06628113769656249,-0.14138588745980707,0
11,[1],1,0.08593838201964898,-0.1173905302013423,0
11,[2],1,0.14900147454117516,-0.028064618374558297,0
11,[3],1,0.17387670879264824,-0.032379548872180454,0
12,[1],1,0.0923502139214264,-0.264642796812749,0
12,[2],1,0.09804256380283281,-0.6199193863636364,0
12,[3],1,0.01653714440838506,-0.28979890344827586,0
13,[1],1,0.03338815117236229,-0.3176304275362319,0
13,[2],1,0.14122396246432453,-0.3410647022653722,0
13,[3],1,0.055850624776899636,0.011373559999999998,0
14,[1],1,0.005990886078253066,-0.8078639785276073,0
14,[24],1,0.024405382190155117,-0.4467675805369128,0
14,[3],1,0.09894373170838458,-0.7008199873015873,0
16,[1],1,0.02323479876236576,-0.2978135352112676,0
16,[2],1,0.08195432426721275,-0.39560480479452054,0
16,[3],1,0.059425552094634564,-0.4248895306748467,0
17,[1],1,0.020530199194853403,-0.408957925795053,0
17,[2],1,0.0125666503025413,-0.35067762323943663,0
17,[34],1,0.017013465202692632,-0.3177505514705882,0
18,[1],1,0.01723813634670292,5.9446043165466976e-05,0
18,[2],1,0.022742619975488335,-0.4630545882352941,0
18,[3],1,0.08808349116798707,-0.3142479634551495,0
1,[1],1,0.080224432530521,-0.5835405669014085,0
1,[2],1,0.024875451529476917,-0.6443528876811595,0
1,[3],1,0.030973854651426384,-0.43327632517482517,0
22,[1],1,0.11424053851771596,-0.5820702392857143,0
22,[2],1,0.11424053851771596,-0.5820702392857143,0
22,[3],1,0.0609619966190894,-0.07696333680555556,0
2,[1],1,0.0370271624232822,-0.2948129397993311,0
2,[2],1,0.028748076891952256,-0.21705506071428574,0
2,[3],1,0.04889634212817151,-0.31198867123287677,0
3,[1],1,0.05725006395330673,-0.37232379276315786,0
3,[2],1,0.14382414114817862,-0.179309887755102,0
3,[3],1,0.07455819605790795,-0.1243997046979866,0
4,[1],1,0.20966526893391282,-0.5483104964705882,0
4,[2],1,0.12615924260799757,-0.2891484777327935,0
4,[3],1,0.028363110447326183,-0.43669972448979594,0
5,[1],1,0.03711648888684711,-0.1913581868131868,0
5,[2],1,0.14849394607935165,-0.1888391724137931,0
5,[3],1,0.2641545895100304,0.10206125255972695,0
6,[1],1,0.041411588090210324,-0.09850707070707071,0
6,[2],1,0.11207841051723748,-0.16522115112540195,0
6,[345],1,0.03414781955215314,-0.3472175442176871,0
7,[1],1,0.035581622519872826,-0.42851889338235294,0
7,[2],1,0.0711747760978942,-0.4055593071895425,0
7,[3],1,0.30098871468748123,-0.31827175460122703,0
8,[2],1,0.006047177038360491,-0.14955016835016835,0
8,[34],1,0.036565595863539385,0.24836154266211602,0
9,[2],1,0.03177494779659865,-0.3890030682593857,0
9,[3],1,0.15450566137523378,-0.2361681928783383,0
10,[2],2,0.03738174678589875,-0.03827925182481752,0
10,[3],2,0.01803982465685717,-0.2985399655172414,0
11,[1],2,0.0509611768186197,-0.32602200378787877,0
11,[2],2,0.02938839090758718,0.195059875,0
11,[3],2,0.007502191013297382,-0.1175106,0
12,[1],2,0.04218107624142891,-0.47126130859375,0
12,[2],2,0.07158933272301773,-0.19428133687943264,0
12,[3],2,0.09042971057103354,-0.2613922413793104,0
13,[1],2,0.0608022779178071,-0.2726026642066421,0
13,[2],2,0.12081096729836475,-0.13338828093645486,0
13,[3],2,0.04974321075352004,-0.16123870434782608,0
14,[1],2,0.06279396464383871,-0.4389460950704226,0
14,[24],2,0.039499537914734845,-0.47484429315960913,0
14,[3],2,0.006166392314429987,-0.47908960563380276,0
16,[1],2,0.04285293024430722,-0.26763880480480484,0
16,[2],2,0.050048213046903045,-0.28948355839416057,0
16,[3],2,0.008259675665510115,-0.4529690160771704,0
17,[1],2,0.025983898160446224,-0.43550097849462366,0
17,[2],2,0.05446539090582788,-0.4135992277580071,0
17,[34],2,0.004434733151683752,-0.3905579850746269,0
18,[1],2,0.037870951006852255,-0.2524789183673469,0
18,[2],2,0.04278316029623017,-0.020297252491694354,0
18,[3],2,0.06120498578893248,-0.291545877076412,0
1,[1],2,0.05835059848044571,-0.49884089527027026,0
1,[2],2,0.07390192397780786,-0.14803526573426573,0
1,[3],2,0.018190021776859203,-0.5500433549488054,0
22,[1],2,0.015638872789414757,-0.24007464184397168,0
22,[2],2,0.015638872789414757,-0.24007464184397168,0
22,[3],2,0.11092176747802054,0.04786887644787645,0
2,[1],2,0.07816162534121868,-0.3008489615384615,0
2,[2],2,0.03148684989873361,-0.27951126845637586,0
2,[3],2,0.017696988018910318,-0.10366290939597317,0
3,[1],2,0.017485471696862643,-0.3398630802675585,0
3,[2],2,0.05703073597030372,-0.3651666586206897,0
3,[3],2,0.029527419658201638,-0.21612926936026935,0
4,[1],2,0.284292177148342,-0.9808328054474708,0
4,[2],2,0.06637245056573264,-0.020972976653696494,0
4,[3],2,0.09047792780951434,-0.5630657557251908,0
5,[1],2,0.19686524239643893,0.12856589932885903,0
5,[2],2,0.07746523811556769,-0.07021028719723182,0
5,[3],2,0.07143501808013344,-0.33464548046875,0
6,[1],2,0.07503827269835049,-0.206871323024055,0
6,[2],2,0.17832386089925126,-0.2832825,0
6,[345],2,0.07364890873617493,-0.15546214035087721,0
7,[1],2,0.009713214505110774,-0.32403203100775196,0
7,[2],2,0.045642328571946146,-0.4572830936454849,0
7,[3],2,0.028458007502321074,-0.352772737654321,0
8,[2],2,0.06478771737247323,0.06560189542483659,0
8,[34],2,0.09670758616795332,0.1673537827586207,0
9,[2],2,0.015761930801988403,-0.33280840466926065,0
9,[3],2,0.0230266957612525,-0.4472083687707641,0
10,[2],3,0.04945487338715363,-0.3957593682432433,0
10,[3],3,0.032291342124214036,-0.25298256299212596,0
11,[1],3,0.0911457112003004,-0.08944103496503497,0
11,[2],3,0.16136246089292222,-0.04776724496644296,0
11,[3],3,0.14320893533361131,0.17220713620071684,0
12,[1],3,0.13581683152143145,-0.31955284800000006,0
12,[2],3,0.12219395074569886,-0.32132099641577067,0
12,[3],3,0.03793411372823869,-0.35564254372623577,0
13,[1],3,0.06132608799148689,-0.06255694285714286,0
13,[2],3,0.03296100030850493,-0.24915718374558304,0
13,[3],3,0.17309472698719922,-0.12299842016806725,0
14,[1],3,0.07907698935448147,-0.5998536687116565,0
14,[24],3,0.012522141675075956,-0.44791549473684206,0
14,[3],3,0.014654974356648432,-0.5263201301369863,0
16,[1],3,0.08751585852063971,-0.06649630769230769,0
16,[2],3,0.11400314059524926,-0.5856770109489051,0
16,[3],3,0.0480335484521569,-0.4837801777003484,0
17,[1],3,0.020724689695674706,-0.6959932234042554,0
17,[2],3,0.02129278225260511,-0.3794559311594203,0
17,[34],3,0.01372147945690498,-0.25180087544483987,0
18,[1],3,0.062208258719219325,-0.32160389247311827,0
18,[2],3,0.03421490870256073,-0.3480976482758621,0
18,[3],3,0.06160937581896062,-0.49474519723183386,0
1,[1],3,0.1742015355701707,-0.6664643598615917,0
1,[2],3,0.0495533715975953,-0.535224620567376,0
1,[3],3,0.046547712136943156,-0.8485908181818183,0
22,[1],3,0.06853513964962246,-0.6882039556313992,0
22,[2],3,0.06853513964962246,-0.6882039556313992,0
22,[3],3,0.0864622151362564,-0.254078871886121,0
2,[1],3,0.11328841078443162,-0.01516558528428094,0
2,[2],3,0.022920436606249938,-0.19230755228758173,0
2,[3],3,0.018026370279803555,-0.2678984865771812,0
3,[1],3,0.013946308495908406,-0.4241820105263158,0
3,[2],3,0.054169099869429006,-0.21961062962962963,0
3,[3],3,0.013775860512706423,-0.19033795470383275,0
4,[1],3,0.07550649940997714,-0.40914910545454547,0
4,[2],3,0.0675174712447425,-0.280171329588015,0
4,[3],3,0.2855286425494163,-0.40889088013698627,0
5,[1],3,0.10636259214222099,-0.13328652263374485,0
5,[2],3,0.09772150195746815,-0.1112442030075188,0
5,[3],3,0.06479614997383662,-0.5933506625,0
6,[1],3,0.021884933953134237,-0.27954240404040404,0
6,[2],3,0.16247010093895123,-0.17448007553956835,0
6,[345],3,0.04394764951232817,-0.37611650352112674,0
7,[1],3,0.016447316822524385,-0.3287845282258065,0
7,[2],3,0.01425625325941274,-0.32784000687285225,0
7,[3],3,0.08492246375960084,-0.4078495777027027,0
8,[2],3,0.031643744969133275,-0.08288562876254181,0
8,[34],3,0.050867194525232716,0.05006994237288136,0
9,[2],3,0.06983125067201865,-0.45708026400000007,0
9,[3],3,0.005812682121536286,-0.586991531598513,0
10,[2],4,0.19541277290431597,-0.2891182596153846,0
10,[3],4,0.12304178539029131,-0.2170027609561753,0
11,[1],4,0.10661310675363096,-0.14758108214285715,0
11,[2],4,0.1066684003919549,0.05344092786885247,0
11,[3],4,0.10662090400908175,-0.5107990214285715,0
12,[1],4,0.16431457922348888,-0.4043136454183267,0
12,[2],4,0.15882594723354998,-0.7049461115241634,0
12,[3],4,0.0861494359791674,-0.411418711026616,0
13,[1],4,0.20803019684114873,-0.08040511324786324,0
13,[2],4,0.039504352660799685,-0.3088155810810811,0
13,[3],4,0.11356227496579457,0.17920028806584362,0
14,[1],4,0.025512035930982335,-0.2567681080139373,0
14,[24],4,0.008608100016337574,-0.45717809893992944,0
14,[3],4,0.06669733996279771,-0.5727220618556701,0
16,[1],4,0.14586915941114878,-0.3337033710691824,0
16,[2],4,0.04362730105366064,-0.5535513051470587,0
16,[3],4,0.02244747168151754,-0.2549929293286219,0
17,[1],4,0.009812896083547636,-0.4526007597173145,0
17,[2],4,0.043324932482874716,-0.4882979817518248,0
17,[34],4,0.03213449717383269,-0.3759092945454546,0
18,[1],4,0.026286824089001317,-0.2769080103448276,0
18,[2],4,0.08292926426142201,-0.3085213154362416,0
18,[3],4,0.01816945679019574,-0.5361826271186441,0
1,[1],4,0.08577460501909498,-0.7636420322580645,0
1,[2],4,0.049903103653344716,-0.6431485813148788,0
1,[3],4,0.0777012873544049,-0.4395216968641115,0
22,[1],4,0.01770110394994218,-0.4300388758620689,0
22,[2],4,0.01770110394994218,-0.4300388758620689,0
22,[3],4,0.00990141524687728,-0.2846493551724138,0
2,[1],4,0.04745042963494722,-0.18861717421602786,0
2,[2],4,0.028144001522732012,-0.31087918466898956,0
2,[3],4,0.018541315977675794,-0.12573500347222222,0
3,[1],4,0.02966478309333389,-0.3933306328125,0
3,[2],4,0.01779198342563831,-0.43385557046979867,0
3,[3],4,0.04677315574081968,-0.16935685664335665,0
4,[1],4,0.04593743452536182,-0.372343936,0
4,[2],4,0.0399301686125391,-0.22752945555555554,0
4,[3],4,0.1239876690207082,-0.6389512044609665,0
5,[1],4,,,0
5,[2],4,0.07324632948417416,0.043480282258064516,0
5,[3],4,0.18448603159671778,-0.44839030324909757,0
6,[1],4,0.03144184443974344,-0.4813634175438597,0
6,[2],4,0.0908336355708018,-0.09429287226277372,0
6,[345],4,0.12873308508864578,-0.320171006993007,0
7,[1],4,0.08064176793842541,-0.2904475611313868,0
7,[2],4,0.0699558511440076,-0.39828242049469964,0
7,[3],4,0.08296400646762017,-0.34788510333333333,0
8,[2],4,0.05309706519140238,0.03213644709897611,0
8,[34],4,0.094814206698688,-0.14750002536231882,0
9,[2],4,0.044854824144790126,-0.4546420172413793,0
9,[3],4,0.012508954831440143,-0.5633237217741934,0
10,[2],5,0.08298080447216168,-0.27621746052631585,0
10,[3],5,0.08497904392179374,-0.4074283949275362,0
11,[1],5,0.024509072286057004,-0.1004092194092827,0
11,[2],5,0.14483055195356712,0.4113891140939598,0
11,[3],5,0.05442078742394019,-0.571446438202247,0
12,[1],5,0.08801992042962535,-0.21916132844574782,0
12,[2],5,0.07134353767621521,-0.4455339077490775,0
12,[3],5,0.09361984951572103,-0.1550023159851301,0
13,[1],5,0.025096770628995173,-0.4044191338289963,0
13,[2],5,0.06337315709556508,-0.17043064419475654,0
13,[3],5,0.12301420923942766,0.187318,0
14,[1],5,0.023077164804049283,-0.46162752517985606,0
14,[24],5,0.00480079129547179,-0.5068504631578947,0
14,[3],5,0.07945571321702805,-0.7866440454545456,0
16,[1],5,0.06362143405238192,-0.3655150642857143,0
16,[2],5,0.06678138233304771,-0.22081344525547444,0
16,[3],5,0.03958730884316042,-0.37469442105263157,0
17,[1],5,0.023403865851841,-0.24078782142857144,0
17,[2],5,0.022656812601804115,-0.1844921824817518,0
17,[34],5,0.029558062503170387,-0.48184763099631,0
18,[1],5,0.041268097583123615,-0.5876538047138048,0
18,[2],5,0.058248186241294096,-0.12444542553191489,0
18,[3],5,0.03191456336073717,-0.3095927750865051,0
1,[1],5,0.08242079032090238,-0.3776085838926174,0
1,[2],5,0.08739899242854338,-0.6695932881944445,0
1,[3],5,0.1063781474654485,-0.2625111363636364,0
22,[1],5,0.07538277176425445,-0.1784525798611111,0
22,[2],5,0.07538277176425445,-0.1784525798611111,0
22,[3],5,0.019943368705068704,-0.2613404107142857,0
2,[1],5,0.022777408238448635,-0.30049085810810805,0
2,[2],5,0.019816293796983374,-0.22628030034129692,0
2,[3],5,0.04058405838631589,-0.17978465263157895,0
3,[1],5,0.017750268556643377,-0.37521147440273034,0
3,[2],5,0.029611593357448802,-0.36426294915254237,0
3,[3],5,0.11713527691650748,-0.18519742955326463,0
4,[1],5,0.1411751556129609,-0.37365629850746274,0
4,[2],5,0.12775936129050436,-0.11631529323308269,0
4,[3],5,0.12855063676996736,-0.06276197872340426,0
5,[1],5,,,0
5,[2],5,0.1394480400962308,-0.019857846428571423,0
5,[3],5,0.08984874772674548,-0.446485268722467,0
6,[1],5,0.199899751233227,-0.5212376421404682,0
6,[2],5,0.07148565127125733,-0.2363400068965517,0
6,[345],5,0.04708805621295763,0.02091393265993266,0
7,[1],5,0.039672484466671265,-0.35677375665399236,0
7,[2],5,0.042274264068483544,-0.40100995340501794,0
7,[3],5,0.09968955776382593,-0.25195465762711866,0
8,[2],5,0.01057742556926437,0.03537069204152249,0
8,[34],5,0.009283427016196475,0.07537847887323944,0
9,[2],5,0.050840708402295515,-0.3399810932203389,0
9,[3],5,0.03470275099056411,-0.6214209801587302,0
10,[2],6,0.022855674588891577,-0.3862641026490067,0
10,[3],6,0.059682843525647004,-0.3882750923076923,0
11,[1],6,0.14045885630456567,-0.04000957894736841,0
11,[2],6,0.038315316452983195,-0.12621663299663302,0
11,[3],6,0.09729668823862753,-0.11726630514705881,0
12,[1],6,0.045469865392148416,-0.36721535200000005,0
12,[2],6,0.03643503742985152,-0.46110313214285714,0
12,[3],6,0.0035763257168627757,-0.3865936858237548,0
13,[1],6,0.15059828114528187,-0.2041015684647303,0
13,[2],6,0.05414836743831637,-0.20239746101694914,0
13,[3],6,0.11454900847728341,-0.04986027678571429,0
14,[1],6,0.029443456933759545,-0.7427126357142857,0
14,[24],6,0.008320573739275812,-0.6805360769230768,0
14,[3],6,0.03412942141736347,-0.4362301708185053,0
16,[1],6,0.03492178681359001,-0.2662094085365853,0
16,[2],6,0.08627540059925251,-0.561262551724138,0
16,[3],6,0.09231582199399255,-0.30529407499999994,0
17,[1],6,0.04636354077056299,-0.33209043272727273,0
17,[2],6,0.0760889822863929,-0.2976675867158671,0
17,[34],6,0.1261278753008944,-0.5953727199999999,0
18,[1],6,0.027528697948968135,-0.3861536351351352,0
18,[2],6,0.08104596417155607,-0.4904786208053691,0
18,[3],6,0.03249115596986438,-0.1474195763888889,0
1,[1],6,0.035275694863803005,-0.46236399999999994,0
1,[2],6,0.13209740056454294,-0.5450551184668989,0
1,[3],6,0.007791603684030918,-0.09938982394366196,0
22,[1],6,0.015579891891275136,-0.5786839559322035,0
22,[2],6,0.015579891891275136,-0.5786839559322035,0
22,[3],6,0.03700243632634129,-0.2642297288732394,0
2,[1],6,0.012302535059192416,-0.19820325684931508,0
2,[2],6,0.05369019256689628,-0.3412480448275862,0
2,[3],6,0.06139474323394112,-0.17208179401993356,0
3,[1],6,0.0759458832076892,-0.49090142413793114,0
3,[2],6,0.07444526113187844,-0.2753182382550336,0
3,[3],6,0.017831526622621215,-0.42745673076923074,0
4,[1],6,0.1859870458156034,-0.9823138315412187,0
4,[2],6,0.15774851261516598,-0.23767091634980989,0
4,[3],6,0.04589017021657272,-0.6472184647302904,0
5,[1],6,,,0
5,[2],6,0.22561582272659952,-0.236133790513834,0
5,[3],6,0.07341875907300607,-0.30439184433962263,0
6,[1],6,0.11205944936762775,-0.3149163356401384,0
6,[2],6,0.09611051375833923,-0.28186674581939797,0
6,[345],6,0.012007237364174876,-0.07821041904761905,0
7,[1],6,0.04797845299341982,-0.3064737249070632,0
7,[2],6,0.04244545802215754,-0.37921559701492535,0
7,[3],6,0.029662560008765552,-0.2804345980066445,0
8,[2],6,0.039773893219388935,0.06282501056338029,0
8,[34],6,0.07293900872664391,-0.03155488172043012,0
9,[2],6,0.019287396468502013,-0.5515092552301256,0
9,[3],6,0.058334854008580565,-0.4699125802469136,0
10,[2],7,0.06443633603771112,-0.2979207006802721,0
10,[3],7,0.07284001034003738,-0.28193217624521066,0
11,[1],7,0.06976681295689607,0.008312157303370786,0
11,[2],7,0.10073129811436897,-0.4455013457627118,0
11,[3],7,0.039758546208632735,-0.07778051079136691,0
12,[1],7,0.05429861085196392,-0.6795301687242798,0
12,[2],7,0.12597159661484195,-0.4532635338345864,0
12,[3],7,0.07249236597624555,-0.5562946328125,0
13,[1],7,0.03828961755118918,-0.28066109954751134,0
13,[2],7,0.04259764175735272,-0.19712889583333335,0
13,[3],7,0.15351509782707798,-0.16650033744855966,0
14,[1],7,0.005649224268520804,-0.6846918732394366,0
14,[24],7,0.015569389252035491,-0.6433452346570397,0
14,[3],7,0.08861457692357806,-0.7828401649122807,0
16,[1],7,,,0
16,[2],7,0.1083048822108013,-0.5737603476562501,0
16,[3],7,0.04411729855043144,-0.466691,0
17,[1],7,0.01480854173397626,-0.6236406516853933,0
17,[2],7,0.011926611870229325,-0.44269160885608855,0
17,[34],7,0.020984170963175314,-0.4030746595744681,0
18,[1],7,0.02098566355641806,-0.3994942828282828,0
18,[2],7,0.06307098937092617,-0.3789532491582492,0
18,[3],7,0.05847090023058767,-0.49490725,0
1,[1],7,0.09302224039289622,-0.48387054452054784,0
1,[2],7,0.026447949099012533,-0.6186832123287671,0
1,[3],7,0.07252446013178286,-0.5189652474576271,0
22,[1],7,0.1285836657253038,-0.6983172130584192,0
22,[2],7,0.1285836657253038,-0.6983172130584192,0
22,[3],7,0.07289543045854223,-0.15845708771929826,0
2,[1],7,0.04997933375858335,-0.11877310472972975,0
2,[2],7,0.019859985845743076,-0.33814105862068966,0
2,[3],7,0.002920575334750229,-0.23352761702127658,0
3,[1],7,0.050770270344926274,-0.3181023515358362,0
3,[2],7,0.020484268262210035,-0.35190039130434775,0
3,[3],7,0.036357398941792726,-0.36705578911564624,0
4,[1],7,0.21680240320270996,-0.3293355709090909,0
4,[2],7,0.03190877001681597,-0.242497622406639,0
4,[3],7,0.05671442654458952,-0.7319759929577465,0
5,[1],7,,,0
5,[2],7,0.2976852929880833,-0.08063265182186233,0
5,[3],7,0.07631285286517556,-0.2757380423728813,0
6,[1],7,0.036149341494855027,-0.3280022557377049,0
6,[2],7,0.07638644384073486,0.051377559859154924,0
6,[345],7,0.11848044296553423,-0.27333451986754964,0
7,[1],7,0.03749281377567405,-0.3859358921933085,0
7,[2],7,0.10669648042244594,-0.40796819702602233,0
7,[3],7,0.08402064790703574,-0.21445422181818183,0
8,[2],7,0.09486697476410458,-0.05192908833922263,0
8,[34],7,0.06959261661853589,0.12422332740213522,0
9,[2],7,0.08113463856105405,-0.4673855164835165,0
9,[3],7,0.04977494294839338,-0.7592990708333335,0
10,[2],8,0.06340902842450502,-0.414282252631579,0
10,[3],8,0.0977211073505388,-0.41405562450592887,0
11,[1],8,0.056660419957728886,-0.340146841509434,0
11,[2],8,0.00976530437373929,0.12130151724137933,0
11,[3],8,0.16319617243971324,-0.6604342218181819,0
12,[1],8,0.18307793907665565,-0.6142349110169493,0
12,[2],8,0.15348049606827155,-0.5816874696969697,0
12,[3],8,0.04228003542338865,-0.5352884117647059,0
13,[1],8,0.11662529115362645,-0.11031700448430493,0
13,[2],8,0.060656814639881505,-0.02883949300699301,0
13,[3],8,0.09099723382998208,0.3230468984375,0
14,[1],8,0.06889670188862135,-0.6733156643598617,0
14,[24],8,0.027914809161629278,-0.6388911438596492,0
14,[3],8,0.009991386097255193,-0.511269883161512,0
16,[1],8,,,0
16,[2],8,0.04449729244287701,-0.5421304172932331,0
16,[3],8,0.015402076777827466,-0.4138184928057554,0
17,[1],8,0.12448263267869955,-0.32514493617021284,0
17,[2],8,0.0031845094374463247,-0.5690440218978102,0
17,[34],8,0.01365314657105601,-0.346001359430605,0
18,[1],8,0.1501358485251815,-0.41791471626297577,0
18,[2],8,0.0397791276354791,-0.4855313208191126,0
18,[3],8,0.0532275582877166,-0.39354473263888884,0
1,[1],8,0.00489342084959252,-0.5072250884353741,0
1,[2],8,0.11944960061655988,-0.5404729071428571,0
1,[3],8,0.0394906910102435,-0.39329739862542956,0
22,[1],8,0.023259960081210757,-0.28727434507042254,0
22,[2],8,0.023259960081210757,-0.28727434507042254,0
22,[3],8,0.12879245668610503,-0.33906766064981947,0
2,[1],8,0.025622893731159283,-0.2188293445945946,0
2,[2],8,0.024732806962038147,-0.293734331010453,0
2,[3],8,0.04216513800077446,-0.21218912671232878,0
3,[1],8,0.055129132635344406,-0.27278161616161617,0
3,[2],8,0.013605077773341991,-0.38717404067796607,0
3,[3],8,0.12460138421083752,-0.1587111598639456,0
4,[1],8,0.08695776434685788,-0.4319057325581395,0
4,[2],8,0.06298639032914632,-0.37402136220472443,0
4,[3],8,0.05634813878254689,-0.3543353321554771,0
5,[1],8,,,0
5,[2],8,0.129580271705298,-0.18383579324894517,0
5,[3],8,0.06664689950318643,-0.2602136952789699,0
6,[1],8,0.03265628134151723,-0.19012867142857146,0
6,[2],8,0.052433713313403275,0.01552067013888889,0
6,[345],8,0.02339930410103883,-0.41403166216216214,0
7,[1],8,0.04576228958385525,-0.4853968419117647,0
7,[2],8,0.046603055355734835,-0.31210054804270465,0
7,[3],8,0.10269998935596962,-0.08343591467576791,0
8,[2],8,0.05511474080155999,0.11925881588447657,0
8,[34],8,0.04264571955290414,0.08660570921985815,0
9,[2],8,0.15069582640488838,-0.3847739962121212,0
9,[3],8,0.0409746209374766,-0.42422916115702475,0
10,[2],9,0.08171330308240823,-0.3656481808510638,0
10,[3],9,0.030969732702198542,-0.461982101214575,0
11,[1],9,0.0888034845803398,0.03404943430656934,0
11,[2],9,0.06768475686819309,-0.44870668402777775,0
