Subject,Mode,ScenarioName,UniqueID,ROI,reactionTime,Week,ParticipantID,MatchID,Case,Location,Gender,minHeadwayDist,EventId,Event
3110004w1,Experimenter,"Load, Event",1649709,3,2.333,1,3110004,4,Case,UAB,Male,10.760736,2,Cut-off
3110004w1,Experimenter,"Load, Event",1649709,1,1.434,1,3110004,4,Case,UAB,Male,13.130343,1,Cut-in
3110004w1,Experimenter,"Load, Event",1649709,5,0.951,1,3110004,4,Case,UAB,Male,10000.0,3,Trashtip
3110004w1,Experimenter,"No Load, Event",1649709,3,0.516,1,3110004,4,Case,UAB,Male,21.296742,2,Trashtip
3110004w1,Experimenter,"No Load, Event",1649709,1,,1,3110004,4,Case,UAB,Male,10000.0,1,Trashtip
3110004w1,Experimenter,"No Load, Event",1649709,5,0.8,1,3110004,4,Case,UAB,Male,19.342242,3,Cut-off 
3110006w1,Experimenter,"No Load, Event",1665006044,3,,1,3110006,6,Case,UAB,Male,10000.0,2,Trashtip
3110006w1,Experimenter,"No Load, Event",1665006044,1,,1,3110006,6,Case,UAB,Male,10000.0,1,Trashtip
3110006w1,Experimenter,"No Load, Event",1665006044,5,0.0,1,3110006,6,Case,UAB,Male,13.203203,3,Cut-off 
3110006w1,Experimenter,Practice,1665003597,3,,1,3110006,6,Case,UAB,Male,10000.0,2,
3110006w1,Experimenter,Practice,1665003597,1,,1,3110006,6,Case,UAB,Male,10000.0,1,
3110006w1,Experimenter,Practice,1665003597,5,0.051,1,3110006,6,Case,UAB,Male,30.825386,3,
3110006w1,Experimenter,"Load, Event",1665005437,3,1.6,1,3110006,6,Case,UAB,Male,14.643837,2,Cut-off
3110006w1,Experimenter,"Load, Event",1665005437,1,0.8,1,3110006,6,Case,UAB,Male,14.548371,1,Cut-in
3110006w1,Experimenter,"Load, Event",1665005437,5,,1,3110006,6,Case,UAB,Male,10000.0,3,Trashtip
3110004w1,Experimenter,Practice,1649708725,3,,1,3110004,4,Case,UAB,Male,10000.0,2,
3110004w1,Experimenter,Practice,1649708725,1,,1,3110004,4,Case,UAB,Male,10000.0,1,
3110004w1,Experimenter,Practice,1649708725,5,9.834,1,3110004,4,Case,UAB,Male,18.692142,3,
3110007w1,Experimenter,"Load, Event",16652,3,0.451,1,3110007,7,Case,UAB,Male,18.969967,2,Cut-off
3110007w1,Experimenter,"Load, Event",16652,1,0.983,1,3110007,7,Case,UAB,Male,20.761634,1,Cut-in
3110007w1,Experimenter,"Load, Event",16652,5,0.484,1,3110007,7,Case,UAB,Male,10000.0,3,Trashtip
3110008w1,Experimenter,Practice,1668011493,3,,1,3110008,8,Case,UAB,Male,10000.0,2,
3110008w1,Experimenter,Practice,1668011493,1,,1,3110008,8,Case,UAB,Male,10000.0,1,
3110008w1,Experimenter,Practice,1668011493,5,1.417,1,3110008,8,Case,UAB,Male,46.8797,3,
3110008w1,Experimenter,"No Load, Event",1668014132,3,,1,3110008,8,Case,UAB,Male,10000.0,2,Trashtip
3110008w1,Experimenter,"No Load, Event",1668014132,1,,1,3110008,8,Case,UAB,Male,10000.0,1,Trashtip
3110008w1,Experimenter,"No Load, Event",1668014132,5,1.151,1,3110008,8,Case,UAB,Male,15.787039,3,Cut-off 
3120001w1,Experimenter,"No Load, Event",1646927441,3,,1,3120001,1,Case,UAB,Female,58.342577,2,Trashtip
3120001w1,Experimenter,"No Load, Event",1646927441,1,,1,3120001,1,Case,UAB,Female,10000.0,1,Trashtip
3120001w1,Experimenter,"No Load, Event",1646927441,5,0.0,1,3120001,1,Case,UAB,Female,20.45005,3,Cut-off 
3110007w1,Experimenter,"No Load, Event",1665239271,3,,1,3110007,7,Case,UAB,Male,10000.0,2,Trashtip
3110007w1,Experimenter,"No Load, Event",1665239271,1,,1,3110007,7,Case,UAB,Male,10000.0,1,Trashtip
3110007w1,Experimenter,"No Load, Event",1665239271,5,0.015,1,3110007,7,Case,UAB,Male,19.857072,3,Cut-off 
3120001w1,Experimenter,"Load, Event",1646848619,3,0.0,1,3120001,1,Case,UAB,Female,20.268433,2,Cut-off
3120001w1,Experimenter,"Load, Event",1646848619,1,0.65,1,3120001,1,Case,UAB,Female,25.995164,1,Cut-in
3120001w1,Experimenter,"Load, Event",1646848619,5,,1,3120001,1,Case,UAB,Female,10000.0,3,Trashtip
3110007w1,Experimenter,Practice,1665236618,3,,1,3110007,7,Case,UAB,Male,10000.0,2,
3110007w1,Experimenter,Practice,1665236618,1,,1,3110007,7,Case,UAB,Male,10000.0,1,
3110007w1,Experimenter,Practice,1665236618,5,0.0,1,3110007,7,Case,UAB,Male,10000.0,3,
3110008w1,Experimenter,"Load, Event",1668013450,3,1.716,1,3110008,8,Case,UAB,Male,11.195739,2,Cut-off
3110008w1,Experimenter,"Load, Event",1668013450,1,0.732,1,3110008,8,Case,UAB,Male,30.174746,1,Cut-in
3110008w1,Experimenter,"Load, Event",1668013450,5,,1,3110008,8,Case,UAB,Male,10000.0,3,Trashtip
3120003w1,Experimenter,Practice,1649191839,3,,1,3120003,3,Case,UAB,Female,10000.0,2,
3120003w1,Experimenter,Practice,1649191839,1,,1,3120003,3,Case,UAB,Female,10000.0,1,
3120003w1,Experimenter,Practice,1649191839,5,9.183,1,3120003,3,Case,UAB,Female,68.329369,3,
3120003w1,Experimenter,"Load, Event",164919,3,1.618,1,3120003,3,Case,UAB,Female,12.17219,2,Cut-off
3120003w1,Experimenter,"Load, Event",164919,1,0.549,1,3120003,3,Case,UAB,Female,17.262694,1,Cut-in
3120003w1,Experimenter,"Load, Event",164919,5,,1,3120003,3,Case,UAB,Female,10000.0,3,Trashtip
3120002w1,Experimenter,"No Load, Event",164804,3,,1,3120002,2,Case,UAB,Female,10000.0,2,Trashtip
3120002w1,Experimenter,"No Load, Event",164804,1,,1,3120002,2,Case,UAB,Female,10000.0,1,Trashtip
3120002w1,Experimenter,"No Load, Event",164804,5,1.634,1,3120002,2,Case,UAB,Female,12.884394,3,Cut-off 
3120002w1,Experimenter,Practice,1648048376,3,,1,3120002,2,Case,UAB,Female,10000.0,2,
3120002w1,Experimenter,Practice,1648048376,1,,1,3120002,2,Case,UAB,Female,10000.0,1,
3120002w1,Experimenter,Practice,1648048376,5,,1,3120002,2,Case,UAB,Female,10000.0,3,
3120003w1,Experimenter,"No Load, Event",1649194443,3,,1,3120003,3,Case,UAB,Female,34.588265,2,Trashtip
3120003w1,Experimenter,"No Load, Event",1649194443,1,,1,3120003,3,Case,UAB,Female,10000.0,1,Trashtip
3120003w1,Experimenter,"No Load, Event",1649194443,5,1.783,1,3120003,3,Case,UAB,Female,12.564393,3,Cut-off 
3120002w1,Experimenter,"Load, Event",164804,3,0.283,1,3120002,2,Case,UAB,Female,16.736503,2,Cut-off
3120002w1,Experimenter,"Load, Event",164804,1,0.85,1,3120002,2,Case,UAB,Female,21.523758,1,Cut-in
3120002w1,Experimenter,"Load, Event",164804,5,0.467,1,3120002,2,Case,UAB,Female,10000.0,3,Trashtip
3120005w1,Experimenter,"Load, Event",16612,3,1.399,1,3120005,5,Case,UAB,Female,11.026556,2,Cut-off
3120005w1,Experimenter,"Load, Event",16612,1,0.599,1,3120005,5,Case,UAB,Female,27.261796,1,Cut-in
3120005w1,Experimenter,"Load, Event",16612,5,,1,3120005,5,Case,UAB,Female,10000.0,3,Trashtip
3120010w1,Experimenter,"Load, Event",1686153910,3,0.0,1,3120010,10,Case,UAB,Female,18.152965,2,Cut-off
3120010w1,Experimenter,"Load, Event",1686153910,1,0.617,1,3120010,10,Case,UAB,Female,14.731969,1,Cut-in
3120010w1,Experimenter,"Load, Event",1686153910,5,,1,3120010,10,Case,UAB,Female,10000.0,3,Trashtip
3120012w1,Experimenter,"Load, Event",1694110806,3,2.2,1,3120012,12,Case,UAB,Female,11.543409,2,Cut-off
3120012w1,Experimenter,"Load, Event",1694110806,1,0.533,1,3120012,12,Case,UAB,Female,15.399363,1,Cut-in
3120012w1,Experimenter,"Load, Event",1694110806,5,,1,3120012,12,Case,UAB,Female,10000.0,3,Trashtip
3120005w1,Experimenter,Practice,1661263680,3,,1,3120005,5,Case,UAB,Female,10000.0,2,
3120005w1,Experimenter,Practice,1661263680,1,,1,3120005,5,Case,UAB,Female,10000.0,1,
3120005w1,Experimenter,Practice,1661263680,5,8.084,1,3120005,5,Case,UAB,Female,39.505798,3,
3120005w1,Experimenter,"No Load, Event",16612,3,,1,3120005,5,Case,UAB,Female,23.42338,2,Trashtip
3120005w1,Experimenter,"No Load, Event",16612,1,,1,3120005,5,Case,UAB,Female,10000.0,1,Trashtip
3120005w1,Experimenter,"No Load, Event",16612,5,1.367,1,3120005,5,Case,UAB,Female,11.413246,3,Cut-off 
3120010w1,Experimenter,"No Load, Event",1686154531,3,,1,3120010,10,Case,UAB,Female,10000.0,2,Trashtip
3120010w1,Experimenter,"No Load, Event",1686154531,1,,1,3120010,10,Case,UAB,Female,10000.0,1,Trashtip
3120010w1,Experimenter,"No Load, Event",1686154531,5,0.249,1,3120010,10,Case,UAB,Female,18.938091,3,Cut-off 
